
jrcC2006#288#14-en,1.0,2 3 3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrcC2006#288#14-en,1.0,3 3 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrcC2006#288#14-en,1.0,2 3 3 3 3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrcC2006#288#14-en,1.0,3 3 2 3 3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc32006D0621-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc32006D0621-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc32006D0621-en,0.0,0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc32006D0621-en,0.0,0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc32006D0621-en,0.0,0 0 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc32006D0621-en,0.0,0 0 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc52005DC0431-en,1.0,8,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc52005DC0431-en,1.0,2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc52005DC0431-en,0.6666666666666666,8 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc52005DC0431-en,1.0,2 8 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc52005DC0431-en,0.4,8 0 1 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc52005DC0431-en,1.0,2 8 2 1 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc52004AE1651-en,1.0,1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc52004AE1651-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc52004AE1651-en,0.6666666666666666,1 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc52004AE1651-en,0.3333333333333333,0 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc52004AE1651-en,0.8,1 0 1 1 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc52004AE1651-en,0.4,0 0 1 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc52005AE0134-en,1.0,5,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc52005AE0134-en,1.0,5,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc52005AE0134-en,0.3333333333333333,5 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc52005AE0134-en,0.6666666666666666,5 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc52005AE0134-en,0.4,5 0 0 1 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc52005AE0134-en,0.4,5 0 1 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc52006DC0723-en,1.0,8,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc52006DC0723-en,1.0,2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc52006DC0723-en,0.6666666666666666,8 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc52006DC0723-en,1.0,2 8 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc52006DC0723-en,0.4,8 0 1 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc52006DC0723-en,1.0,2 8 1 1 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc52006PC0031-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc52006PC0031-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc52006PC0031-en,0.3333333333333333,0 0 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc52006PC0031-en,0.0,0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
